"Population by age, type of locality, religious affiliation, and sex",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Age/Type of locality, All religions ,,,, No religion ,,,, Christian ,,, Islam ,,,, Traditional ,,,, Other ,,,,Age/Type of locality
, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female , Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,,
Age/Type of locality, All religions ,,,, No religion ,,,, Christian ,,, Islam ,,,, Traditional ,,,, Other ,,,,Age/Type of locality
, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female , Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,,
   70 - 74  ,,,,,,,,,,,,,,,,,,,,,,,,   70 - 74  
All localities,"351,330","149,512","201,818",,"25,066","14,254","10,812",,"224,611","86,659","137,952","61,699","29,863","31,836",,"37,112","17,612","19,500",,"2,842","1,124","1,718",,All localities
Urban,"153,951","63,786","90,165",,"8,268","4,768","3,500",,"107,416","41,459","65,957","32,173","14,961","17,212",,"4,820","2,065","2,755",,"1,274",533,741,,Urban
Rural,"197,379","85,726","111,653",,"16,798","9,486","7,312",,"117,195","45,200","71,995","29,526","14,902","14,624",,"32,292","15,547","16,745",,"1,568",591,977,,Rural
   75 - 79  ,,,,,,,,,,,,,,,,,,,,,,,,   75 - 79  
All localities,"205,953","89,149","116,804",,"14,516","8,119","6,397",,"132,028","51,452","80,576","35,163","17,527","17,636",,"22,694","11,411","11,283",,"1,552",640,912,,All localities
Urban,"93,297","38,300","54,997",,"4,939","2,630","2,309",,"65,555","25,071","40,484","18,960","8,906","10,054",,"3,147","1,387","1,760",,696,306,390,,Urban
Rural,"112,656","50,849","61,807",,"9,577","5,489","4,088",,"66,473","26,381","40,092","16,203","8,621","7,582",,"19,547","10,024","9,523",,856,334,522,,Rural
   80 - 84  ,,,,,,,,,,,,,,,,,,,,,,,,   80 - 84  
All localities,"159,084","62,357","96,727",,"12,164","5,879","6,285",,"97,192","33,016","64,176","28,742","13,405","15,337",,"19,732","9,591","10,141",,"1,254",466,788,,All localities
Urban,"67,888","25,271","42,617",,"3,912","1,872","2,040",,"46,308","15,586","30,722","14,447","6,509","7,938",,"2,682","1,098","1,584",,539,206,333,,Urban
Rural,"91,196","37,086","54,110",,"8,252","4,007","4,245",,"50,884","17,430","33,454","14,295","6,896","7,399",,"17,050","8,493","8,557",,715,260,455,,Rural
   85 - 89  ,,,,,,,,,,,,,,,,,,,,,,,,   85 - 89  
All localities,"83,070","32,937","50,133",,"6,389","3,196","3,193",,"52,189","17,775","34,414","14,399","7,053","7,346",,"9,468","4,679","4,789",,625,234,391,,All localities
Urban,"37,719","13,683","24,036",,"2,211","1,053","1,158",,"26,535","8,615","17,920","7,422","3,409","4,013",,"1,241",490,751,,310,116,194,,Urban
Rural,"45,351","19,254","26,097",,"4,178","2,143","2,035",,"25,654","9,160","16,494","6,977","3,644","3,333",,"8,227","4,189","4,038",,315,118,197,,Rural
   90 - 94  ,,,,,,,,,,,,,,,,,,,,,,,,   90 - 94  
All localities,"51,081","19,004","32,077",,"4,421","2,057","2,364",,"30,511","9,075","21,436","9,202","4,474","4,728",,"6,578","3,284","3,294",,369,114,255,,All localities
Urban,"21,270","6,985","14,285",,"1,555",665,890,,"14,261","3,946","10,315","4,422","1,975","2,447",,886,356,530,,146,43,103,,Urban
Rural,"29,811","12,019","17,792",,"2,866","1,392","1,474",,"16,250","5,129","11,121","4,780","2,499","2,281",,"5,692","2,928","2,764",,223,71,152,,Rural
   95 +  ,,,,,,,,,,,,,,,,,,,,,,,,   95 +  
All localities,"23,143","8,750","14,393",,"2,054",981,"1,073",,"14,005","4,314","9,691","4,096","1,993","2,103",,"2,791","1,387","1,404",,197,75,122,,All localities
Urban,"10,269","3,415","6,854",,721,314,407,,"6,998","1,997","5,001","2,079",931,"1,148",,383,141,242,,88,32,56,,Urban
Rural,"12,874","5,335","7,539",,"1,333",667,666,,"7,007","2,317","4,690","2,017","1,062",955,,"2,408","1,246","1,162",,109,43,66,,Rural
